npy_file,first_cycle_frame_count
4_13_cam2.npy,169
7_14_cam0.npy,46
24_03_cam3.npy,31
4_12_cam2.npy,103
7_15_cam0.npy,26
24_02_cam3.npy,119
17_01_cam3.npy,85
14_06_cam1.npy,189
14_07_cam1.npy,85
11_10_cam2.npy,54
12_16_cam0.npy,59
11_11_cam2.npy,119
1_05_cam1.npy,80
2_02_cam3.npy,89
22_12_cam2.npy,23
21_15_cam0.npy,44
1_04_cam1.npy,31
2_03_cam3.npy,69
22_13_cam2.npy,73
21_14_cam0.npy,41
8_05_cam2.npy,90
8_04_cam2.npy,155
18_10_cam1.npy,41
16_09_cam1.npy,39
16_08_cam1.npy,78
3_16_cam4.npy,86
18_11_cam1.npy,34
25_16_cam4.npy,37
16_14_cam4.npy,62
16_15_cam4.npy,51
8_13_cam4.npy,90
10_13_cam3.npy,62
13_14_cam1.npy,32
10_12_cam3.npy,40
13_15_cam1.npy,41
8_12_cam4.npy,63
20_16_cam1.npy,78
23_11_cam3.npy,91
3_01_cam2.npy,750
0_06_cam0.npy,120
23_10_cam3.npy,40
0_07_cam0.npy,73
26_07_cam0.npy,168
13_09_cam4.npy,73
5_10_cam3.npy,60
25_01_cam2.npy,28
26_06_cam0.npy,82
6_16_cam1.npy,85
13_08_cam4.npy,36
5_11_cam3.npy,62
15_05_cam0.npy,69
16_02_cam2.npy,76
15_04_cam0.npy,50
16_03_cam2.npy,46
4_05_cam4.npy,51
4_04_cam4.npy,134
2_09_cam0.npy,113
2_08_cam0.npy,80
24_08_cam0.npy,34
11_06_cam4.npy,35
9_06_cam3.npy,164
24_09_cam0.npy,31
9_07_cam3.npy,52
11_07_cam4.npy,40
19_13_cam0.npy,51
22_04_cam4.npy,84
19_12_cam0.npy,54
22_05_cam4.npy,24
19_12_cam1.npy,42
2_15_cam4.npy,52
2_14_cam4.npy,122
19_13_cam1.npy,71
24_09_cam1.npy,34
9_07_cam2.npy,111
24_08_cam1.npy,64
9_06_cam2.npy,207
17_16_cam4.npy,52
2_08_cam1.npy,96
2_09_cam1.npy,63
24_14_cam4.npy,56
24_15_cam4.npy,83
16_03_cam3.npy,88
15_04_cam1.npy,72
16_02_cam3.npy,81
15_05_cam1.npy,112
26_06_cam1.npy,147
25_01_cam3.npy,55
5_11_cam2.npy,159
6_16_cam0.npy,78
26_07_cam1.npy,160
5_10_cam2.npy,110
23_10_cam2.npy,46
